"Notes"	"Residence County"	"Residence County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths
	"Dallas County, AL"	"01047"	"45-54 years"	"45-54"	20
	"Dallas County, AL"	"01047"	"55-64 years"	"55-64"	32
	"Dallas County, AL"	"01047"	"65-74 years"	"65-74"	55
	"DeKalb County, AL"	"01049"	"45-54 years"	"45-54"	20
	"DeKalb County, AL"	"01049"	"55-64 years"	"55-64"	37
	"DeKalb County, AL"	"01049"	"65-74 years"	"65-74"	73
	"Elmore County, AL"	"01051"	"45-54 years"	"45-54"	14
	"Elmore County, AL"	"01051"	"55-64 years"	"55-64"	36
	"Elmore County, AL"	"01051"	"65-74 years"	"65-74"	66
	"Escambia County, AL"	"01053"	"55-64 years"	"55-64"	15
	"Escambia County, AL"	"01053"	"65-74 years"	"65-74"	45
	"Etowah County, AL"	"01055"	"45-54 years"	"45-54"	22
	"Etowah County, AL"	"01055"	"55-64 years"	"55-64"	68
	"Etowah County, AL"	"01055"	"65-74 years"	"65-74"	105
	"Fayette County, AL"	"01057"	"55-64 years"	"55-64"	10
	"Fayette County, AL"	"01057"	"65-74 years"	"65-74"	30
	"Franklin County, AL"	"01059"	"55-64 years"	"55-64"	19
	"Franklin County, AL"	"01059"	"65-74 years"	"65-74"	30
	"Geneva County, AL"	"01061"	"55-64 years"	"55-64"	26
	"Geneva County, AL"	"01061"	"65-74 years"	"65-74"	22
	"Greene County, AL"	"01063"	"55-64 years"	"55-64"	13
	"Greene County, AL"	"01063"	"65-74 years"	"65-74"	13
	"Hale County, AL"	"01065"	"55-64 years"	"55-64"	13
	"Hale County, AL"	"01065"	"65-74 years"	"65-74"	13
	"Henry County, AL"	"01067"	"55-64 years"	"55-64"	10
	"Henry County, AL"	"01067"	"65-74 years"	"65-74"	17
	"Houston County, AL"	"01069"	"35-44 years"	"35-44"	11
	"Houston County, AL"	"01069"	"45-54 years"	"45-54"	28
	"Houston County, AL"	"01069"	"55-64 years"	"55-64"	58
	"Houston County, AL"	"01069"	"65-74 years"	"65-74"	104
	"Jackson County, AL"	"01071"	"35-44 years"	"35-44"	12
	"Jackson County, AL"	"01071"	"45-54 years"	"45-54"	14
	"Jackson County, AL"	"01071"	"55-64 years"	"55-64"	43
	"Jackson County, AL"	"01071"	"65-74 years"	"65-74"	56
	"Jefferson County, AL"	"01073"	"35-44 years"	"35-44"	74
	"Jefferson County, AL"	"01073"	"45-54 years"	"45-54"	149
	"Jefferson County, AL"	"01073"	"55-64 years"	"55-64"	314
	"Jefferson County, AL"	"01073"	"65-74 years"	"65-74"	535
	"Lamar County, AL"	"01075"	"65-74 years"	"65-74"	10
	"Lauderdale County, AL"	"01077"	"45-54 years"	"45-54"	22
	"Lauderdale County, AL"	"01077"	"55-64 years"	"55-64"	56
	"Lauderdale County, AL"	"01077"	"65-74 years"	"65-74"	88
	"Lawrence County, AL"	"01079"	"45-54 years"	"45-54"	10
	"Lawrence County, AL"	"01079"	"55-64 years"	"55-64"	22
	"Lawrence County, AL"	"01079"	"65-74 years"	"65-74"	34
	"Lee County, AL"	"01081"	"45-54 years"	"45-54"	20
	"Lee County, AL"	"01081"	"55-64 years"	"55-64"	57
	"Lee County, AL"	"01081"	"65-74 years"	"65-74"	82
	"Limestone County, AL"	"01083"	"35-44 years"	"35-44"	14
	"Limestone County, AL"	"01083"	"45-54 years"	"45-54"	26
	"Limestone County, AL"	"01083"	"55-64 years"	"55-64"	56
	"Limestone County, AL"	"01083"	"65-74 years"	"65-74"	72
	"Lowndes County, AL"	"01085"	"45-54 years"	"45-54"	13
	"Lowndes County, AL"	"01085"	"65-74 years"	"65-74"	15
	"Macon County, AL"	"01087"	"45-54 years"	"45-54"	11
	"Macon County, AL"	"01087"	"55-64 years"	"55-64"	19
	"Macon County, AL"	"01087"	"65-74 years"	"65-74"	22
	"Madison County, AL"	"01089"	"35-44 years"	"35-44"	39
	"Madison County, AL"	"01089"	"45-54 years"	"45-54"	84
	"Madison County, AL"	"01089"	"55-64 years"	"55-64"	177
	"Madison County, AL"	"01089"	"65-74 years"	"65-74"	246
	"Marengo County, AL"	"01091"	"65-74 years"	"65-74"	11
	"Marion County, AL"	"01093"	"55-64 years"	"55-64"	23
	"Marion County, AL"	"01093"	"65-74 years"	"65-74"	22
	"Marshall County, AL"	"01095"	"45-54 years"	"45-54"	26
	"Marshall County, AL"	"01095"	"55-64 years"	"55-64"	63
	"Marshall County, AL"	"01095"	"65-74 years"	"65-74"	85
	"Mobile County, AL"	"01097"	"35-44 years"	"35-44"	28
	"Mobile County, AL"	"01097"	"45-54 years"	"45-54"	112
	"Mobile County, AL"	"01097"	"55-64 years"	"55-64"	263
	"Mobile County, AL"	"01097"	"65-74 years"	"65-74"	385
	"Monroe County, AL"	"01099"	"55-64 years"	"55-64"	10
	"Monroe County, AL"	"01099"	"65-74 years"	"65-74"	25
	"Montgomery County, AL"	"01101"	"35-44 years"	"35-44"	23
	"Montgomery County, AL"	"01101"	"45-54 years"	"45-54"	51
	"Montgomery County, AL"	"01101"	"55-64 years"	"55-64"	105
	"Montgomery County, AL"	"01101"	"65-74 years"	"65-74"	152
	"Morgan County, AL"	"01103"	"35-44 years"	"35-44"	12
	"Morgan County, AL"	"01103"	"45-54 years"	"45-54"	35
	"Morgan County, AL"	"01103"	"55-64 years"	"55-64"	76
	"Morgan County, AL"	"01103"	"65-74 years"	"65-74"	100
	"Perry County, AL"	"01105"	"65-74 years"	"65-74"	12
	"Pickens County, AL"	"01107"	"55-64 years"	"55-64"	13
	"Pickens County, AL"	"01107"	"65-74 years"	"65-74"	18
	"Pike County, AL"	"01109"	"45-54 years"	"45-54"	12
	"Pike County, AL"	"01109"	"55-64 years"	"55-64"	19
	"Pike County, AL"	"01109"	"65-74 years"	"65-74"	21
	"Randolph County, AL"	"01111"	"55-64 years"	"55-64"	28
	"Randolph County, AL"	"01111"	"65-74 years"	"65-74"	28
	"Russell County, AL"	"01113"	"45-54 years"	"45-54"	16
	"Russell County, AL"	"01113"	"55-64 years"	"55-64"	33
	"Russell County, AL"	"01113"	"65-74 years"	"65-74"	41
	"St. Clair County, AL"	"01115"	"35-44 years"	"35-44"	12
	"St. Clair County, AL"	"01115"	"45-54 years"	"45-54"	16
	"St. Clair County, AL"	"01115"	"55-64 years"	"55-64"	50
	"St. Clair County, AL"	"01115"	"65-74 years"	"65-74"	76
	"Shelby County, AL"	"01117"	"35-44 years"	"35-44"	14
	"Shelby County, AL"	"01117"	"45-54 years"	"45-54"	26
	"Shelby County, AL"	"01117"	"55-64 years"	"55-64"	58
	"Shelby County, AL"	"01117"	"65-74 years"	"65-74"	117
	"Talladega County, AL"	"01121"	"45-54 years"	"45-54"	23
	"Talladega County, AL"	"01121"	"55-64 years"	"55-64"	51
	"Talladega County, AL"	"01121"	"65-74 years"	"65-74"	94
	"Tallapoosa County, AL"	"01123"	"55-64 years"	"55-64"	20
	"Tallapoosa County, AL"	"01123"	"65-74 years"	"65-74"	44
	"Tuscaloosa County, AL"	"01125"	"35-44 years"	"35-44"	22
	"Tuscaloosa County, AL"	"01125"	"45-54 years"	"45-54"	55
	"Tuscaloosa County, AL"	"01125"	"55-64 years"	"55-64"	96
	"Tuscaloosa County, AL"	"01125"	"65-74 years"	"65-74"	158
	"Walker County, AL"	"01127"	"35-44 years"	"35-44"	20
	"Walker County, AL"	"01127"	"45-54 years"	"45-54"	35
	"Walker County, AL"	"01127"	"55-64 years"	"55-64"	76
	"Walker County, AL"	"01127"	"65-74 years"	"65-74"	92
	"Washington County, AL"	"01129"	"55-64 years"	"55-64"	12
	"Washington County, AL"	"01129"	"65-74 years"	"65-74"	18
	"Wilcox County, AL"	"01131"	"55-64 years"	"55-64"	12
	"Wilcox County, AL"	"01131"	"65-74 years"	"65-74"	12
	"Winston County, AL"	"01133"	"55-64 years"	"55-64"	19
	"Winston County, AL"	"01133"	"65-74 years"	"65-74"	33
	"Anchorage Borough, AK"	"02020"	"35-44 years"	"35-44"	17
	"Anchorage Borough, AK"	"02020"	"45-54 years"	"45-54"	37
	"Anchorage Borough, AK"	"02020"	"55-64 years"	"55-64"	89
	"Anchorage Borough, AK"	"02020"	"65-74 years"	"65-74"	115
	"Bethel Census Area, AK"	"02050"	"65-74 years"	"65-74"	10
	"Fairbanks North Star Borough, AK"	"02090"	"45-54 years"	"45-54"	10
	"Fairbanks North Star Borough, AK"	"02090"	"55-64 years"	"55-64"	26
	"Fairbanks North Star Borough, AK"	"02090"	"65-74 years"	"65-74"	38
	"Juneau Borough, AK"	"02110"	"55-64 years"	"55-64"	10
	"Juneau Borough, AK"	"02110"	"65-74 years"	"65-74"	14
	"Kenai Peninsula Borough, AK"	"02122"	"55-64 years"	"55-64"	26
	"Kenai Peninsula Borough, AK"	"02122"	"65-74 years"	"65-74"	37
	"Matanuska-Susitna Borough, AK"	"02170"	"45-54 years"	"45-54"	14
	"Matanuska-Susitna Borough, AK"	"02170"	"55-64 years"	"55-64"	29
	"Matanuska-Susitna Borough, AK"	"02170"	"65-74 years"	"65-74"	48
	"Apache County, AZ"	"04001"	"45-54 years"	"45-54"	13
	"Apache County, AZ"	"04001"	"55-64 years"	"55-64"	31
	"Apache County, AZ"	"04001"	"65-74 years"	"65-74"	36
	"Cochise County, AZ"	"04003"	"45-54 years"	"45-54"	15
	"Cochise County, AZ"	"04003"	"55-64 years"	"55-64"	47
	"Cochise County, AZ"	"04003"	"65-74 years"	"65-74"	112
	"Coconino County, AZ"	"04005"	"45-54 years"	"45-54"	15
	"Coconino County, AZ"	"04005"	"55-64 years"	"55-64"	27
	"Coconino County, AZ"	"04005"	"65-74 years"	"65-74"	48
	"Gila County, AZ"	"04007"	"45-54 years"	"45-54"	11
	"Gila County, AZ"	"04007"	"55-64 years"	"55-64"	22
	"Gila County, AZ"	"04007"	"65-74 years"	"65-74"	73
	"Graham County, AZ"	"04009"	"65-74 years"	"65-74"	25
	"La Paz County, AZ"	"04012"	"55-64 years"	"55-64"	11
	"La Paz County, AZ"	"04012"	"65-74 years"	"65-74"	27
	"Maricopa County, AZ"	"04013"	"35-44 years"	"35-44"	178
	"Maricopa County, AZ"	"04013"	"45-54 years"	"45-54"	475
	"Maricopa County, AZ"	"04013"	"55-64 years"	"55-64"	1156
	"Maricopa County, AZ"	"04013"	"65-74 years"	"65-74"	1974
	"Mohave County, AZ"	"04015"	"45-54 years"	"45-54"	35
	"Mohave County, AZ"	"04015"	"55-64 years"	"55-64"	164
	"Mohave County, AZ"	"04015"	"65-74 years"	"65-74"	295
	"Navajo County, AZ"	"04017"	"45-54 years"	"45-54"	17
	"Navajo County, AZ"	"04017"	"55-64 years"	"55-64"	39
	"Navajo County, AZ"	"04017"	"65-74 years"	"65-74"	74
	"Pima County, AZ"	"04019"	"35-44 years"	"35-44"	43
	"Pima County, AZ"	"04019"	"45-54 years"	"45-54"	105
	"Pima County, AZ"	"04019"	"55-64 years"	"55-64"	281
	"Pima County, AZ"	"04019"	"65-74 years"	"65-74"	566
	"Pinal County, AZ"	"04021"	"35-44 years"	"35-44"	17
	"Pinal County, AZ"	"04021"	"45-54 years"	"45-54"	60
	"Pinal County, AZ"	"04021"	"55-64 years"	"55-64"	133
	"Pinal County, AZ"	"04021"	"65-74 years"	"65-74"	293
	"Santa Cruz County, AZ"	"04023"	"65-74 years"	"65-74"	18
	"Yavapai County, AZ"	"04025"	"45-54 years"	"45-54"	30
	"Yavapai County, AZ"	"04025"	"55-64 years"	"55-64"	72
	"Yavapai County, AZ"	"04025"	"65-74 years"	"65-74"	200
	"Yuma County, AZ"	"04027"	"45-54 years"	"45-54"	18
	"Yuma County, AZ"	"04027"	"55-64 years"	"55-64"	55
	"Yuma County, AZ"	"04027"	"65-74 years"	"65-74"	134
	"Arkansas County, AR"	"05001"	"55-64 years"	"55-64"	10
	"Arkansas County, AR"	"05001"	"65-74 years"	"65-74"	18
	"Ashley County, AR"	"05003"	"55-64 years"	"55-64"	20
	"Ashley County, AR"	"05003"	"65-74 years"	"65-74"	19
	"Baxter County, AR"	"05005"	"45-54 years"	"45-54"	10
	"Baxter County, AR"	"05005"	"55-64 years"	"55-64"	29
	"Baxter County, AR"	"05005"	"65-74 years"	"65-74"	41
	"Benton County, AR"	"05007"	"35-44 years"	"35-44"	11
	"Benton County, AR"	"05007"	"45-54 years"	"45-54"	26
	"Benton County, AR"	"05007"	"55-64 years"	"55-64"	63
	"Benton County, AR"	"05007"	"65-74 years"	"65-74"	116
	"Boone County, AR"	"05009"	"55-64 years"	"55-64"	19
	"Boone County, AR"	"05009"	"65-74 years"	"65-74"	35
	"Carroll County, AR"	"05015"	"55-64 years"	"55-64"	13
	"Carroll County, AR"	"05015"	"65-74 years"	"65-74"	19
	"Chicot County, AR"	"05017"	"65-74 years"	"65-74"	17
	"Clark County, AR"	"05019"	"65-74 years"	"65-74"	18
	"Clay County, AR"	"05021"	"65-74 years"	"65-74"	14
	"Cleburne County, AR"	"05023"	"55-64 years"	"55-64"	12
	"Cleburne County, AR"	"05023"	"65-74 years"	"65-74"	25
	"Columbia County, AR"	"05027"	"55-64 years"	"55-64"	11
	"Columbia County, AR"	"05027"	"65-74 years"	"65-74"	23
	"Conway County, AR"	"05029"	"65-74 years"	"65-74"	20
	"Craighead County, AR"	"05031"	"35-44 years"	"35-44"	12
	"Craighead County, AR"	"05031"	"45-54 years"	"45-54"	26
	"Craighead County, AR"	"05031"	"55-64 years"	"55-64"	61
	"Craighead County, AR"	"05031"	"65-74 years"	"65-74"	75
	"Crawford County, AR"	"05033"	"45-54 years"	"45-54"	14
	"Crawford County, AR"	"05033"	"55-64 years"	"55-64"	39
	"Crawford County, AR"	"05033"	"65-74 years"	"65-74"	52
	"Crittenden County, AR"	"05035"	"45-54 years"	"45-54"	11
	"Crittenden County, AR"	"05035"	"55-64 years"	"55-64"	32
	"Crittenden County, AR"	"05035"	"65-74 years"	"65-74"	31
	"Cross County, AR"	"05037"	"55-64 years"	"55-64"	11
	"Cross County, AR"	"05037"	"65-74 years"	"65-74"	12
	"Drew County, AR"	"05043"	"55-64 years"	"55-64"	13
	"Drew County, AR"	"05043"	"65-74 years"	"65-74"	24
	"Faulkner County, AR"	"05045"	"45-54 years"	"45-54"	22
	"Faulkner County, AR"	"05045"	"55-64 years"	"55-64"	44
	"Faulkner County, AR"	"05045"	"65-74 years"	"65-74"	67
	"Franklin County, AR"	"05047"	"55-64 years"	"55-64"	11
	"Franklin County, AR"	"05047"	"65-74 years"	"65-74"	17
	"Fulton County, AR"	"05049"	"65-74 years"	"65-74"	18
	"Garland County, AR"	"05051"	"35-44 years"	"35-44"	11
	"Garland County, AR"	"05051"	"45-54 years"	"45-54"	28
	"Garland County, AR"	"05051"	"55-64 years"	"55-64"	57
	"Garland County, AR"	"05051"	"65-74 years"	"65-74"	100
	"Grant County, AR"	"05053"	"65-74 years"	"65-74"	16
	"Greene County, AR"	"05055"	"55-64 years"	"55-64"	27
	"Greene County, AR"	"05055"	"65-74 years"	"65-74"	42
	"Hempstead County, AR"	"05057"	"55-64 years"	"55-64"	20
	"Hempstead County, AR"	"05057"	"65-74 years"	"65-74"	27
	"Hot Spring County, AR"	"05059"	"55-64 years"	"55-64"	17
	"Hot Spring County, AR"	"05059"	"65-74 years"	"65-74"	42
	"Howard County, AR"	"05061"	"65-74 years"	"65-74"	15
	"Independence County, AR"	"05063"	"55-64 years"	"55-64"	29
	"Independence County, AR"	"05063"	"65-74 years"	"65-74"	27
	"Izard County, AR"	"05065"	"65-74 years"	"65-74"	12
	"Jackson County, AR"	"05067"	"65-74 years"	"65-74"	19
	"Jefferson County, AR"	"05069"	"45-54 years"	"45-54"	24
	"Jefferson County, AR"	"05069"	"55-64 years"	"55-64"	50
	"Jefferson County, AR"	"05069"	"65-74 years"	"65-74"	70
	"Johnson County, AR"	"05071"	"55-64 years"	"55-64"	13
	"Johnson County, AR"	"05071"	"65-74 years"	"65-74"	17
	"Lafayette County, AR"	"05073"	"65-74 years"	"65-74"	12
	"Lawrence County, AR"	"05075"	"65-74 years"	"65-74"	12
	"Lincoln County, AR"	"05079"	"65-74 years"	"65-74"	12
	"Little River County, AR"	"05081"	"65-74 years"	"65-74"	10
	"Logan County, AR"	"05083"	"55-64 years"	"55-64"	16
	"Logan County, AR"	"05083"	"65-74 years"	"65-74"	24
	"Lonoke County, AR"	"05085"	"45-54 years"	"45-54"	18
	"Lonoke County, AR"	"05085"	"55-64 years"	"55-64"	47
	"Lonoke County, AR"	"05085"	"65-74 years"	"65-74"	61
	"Madison County, AR"	"05087"	"55-64 years"	"55-64"	11
	"Madison County, AR"	"05087"	"65-74 years"	"65-74"	12
	"Marion County, AR"	"05089"	"55-64 years"	"55-64"	10
	"Marion County, AR"	"05089"	"65-74 years"	"65-74"	16
	"Miller County, AR"	"05091"	"45-54 years"	"45-54"	12
	"Miller County, AR"	"05091"	"55-64 years"	"55-64"	29
	"Miller County, AR"	"05091"	"65-74 years"	"65-74"	46
	"Mississippi County, AR"	"05093"	"35-44 years"	"35-44"	11
	"Mississippi County, AR"	"05093"	"45-54 years"	"45-54"	18
	"Mississippi County, AR"	"05093"	"55-64 years"	"55-64"	27
	"Mississippi County, AR"	"05093"	"65-74 years"	"65-74"	48
	"Montgomery County, AR"	"05097"	"65-74 years"	"65-74"	10
	"Ouachita County, AR"	"05103"	"55-64 years"	"55-64"	18
	"Ouachita County, AR"	"05103"	"65-74 years"	"65-74"	35
	"Perry County, AR"	"05105"	"65-74 years"	"65-74"	11
	"Phillips County, AR"	"05107"	"65-74 years"	"65-74"	18
	"Poinsett County, AR"	"05111"	"55-64 years"	"55-64"	23
	"Poinsett County, AR"	"05111"	"65-74 years"	"65-74"	24
	"Polk County, AR"	"05113"	"55-64 years"	"55-64"	11
	"Polk County, AR"	"05113"	"65-74 years"	"65-74"	27
	"Pope County, AR"	"05115"	"55-64 years"	"55-64"	26
	"Pope County, AR"	"05115"	"65-74 years"	"65-74"	41
	"Pulaski County, AR"	"05119"	"35-44 years"	"35-44"	32
	"Pulaski County, AR"	"05119"	"45-54 years"	"45-54"	81
	"Pulaski County, AR"	"05119"	"55-64 years"	"55-64"	191
	"Pulaski County, AR"	"05119"	"65-74 years"	"65-74"	265
	"Randolph County, AR"	"05121"	"65-74 years"	"65-74"	12
	"St. Francis County, AR"	"05123"	"55-64 years"	"55-64"	15
	"St. Francis County, AR"	"05123"	"65-74 years"	"65-74"	23
	"Saline County, AR"	"05125"	"45-54 years"	"45-54"	23
	"Saline County, AR"	"05125"	"55-64 years"	"55-64"	41
	"Saline County, AR"	"05125"	"65-74 years"	"65-74"	91
	"Scott County, AR"	"05127"	"55-64 years"	"55-64"	12
	"Scott County, AR"	"05127"	"65-74 years"	"65-74"	11
	"Sebastian County, AR"	"05131"	"45-54 years"	"45-54"	14
	"Sebastian County, AR"	"05131"	"55-64 years"	"55-64"	63
	"Sebastian County, AR"	"05131"	"65-74 years"	"65-74"	89
	"Sevier County, AR"	"05133"	"55-64 years"	"55-64"	10
	"Sevier County, AR"	"05133"	"65-74 years"	"65-74"	13
	"Sharp County, AR"	"05135"	"55-64 years"	"55-64"	12
	"Sharp County, AR"	"05135"	"65-74 years"	"65-74"	22
	"Stone County, AR"	"05137"	"65-74 years"	"65-74"	18
	"Union County, AR"	"05139"	"55-64 years"	"55-64"	28
	"Union County, AR"	"05139"	"65-74 years"	"65-74"	46
	"Van Buren County, AR"	"05141"	"65-74 years"	"65-74"	18
	"Washington County, AR"	"05143"	"35-44 years"	"35-44"	23
	"Washington County, AR"	"05143"	"45-54 years"	"45-54"	45
	"Washington County, AR"	"05143"	"55-64 years"	"55-64"	106
	"Washington County, AR"	"05143"	"65-74 years"	"65-74"	141
	"White County, AR"	"05145"	"55-64 years"	"55-64"	30
	"White County, AR"	"05145"	"65-74 years"	"65-74"	57
	"Yell County, AR"	"05149"	"55-64 years"	"55-64"	12
	"Yell County, AR"	"05149"	"65-74 years"	"65-74"	24
	"Alameda County, CA"	"06001"	"35-44 years"	"35-44"	60
	"Alameda County, CA"	"06001"	"45-54 years"	"45-54"	136
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	337
	"Alameda County, CA"	"06001"	"65-74 years"	"65-74"	626
	"Amador County, CA"	"06005"	"55-64 years"	"55-64"	24
	"Amador County, CA"	"06005"	"65-74 years"	"65-74"	34
	"Butte County, CA"	"06007"	"45-54 years"	"45-54"	12
	"Butte County, CA"	"06007"	"55-64 years"	"55-64"	77
	"Butte County, CA"	"06007"	"65-74 years"	"65-74"	140
	"Calaveras County, CA"	"06009"	"55-64 years"	"55-64"	19
	"Calaveras County, CA"	"06009"	"65-74 years"	"65-74"	40
	"Contra Costa County, CA"	"06013"	"35-44 years"	"35-44"	44
	"Contra Costa County, CA"	"06013"	"45-54 years"	"45-54"	88
	"Contra Costa County, CA"	"06013"	"55-64 years"	"55-64"	239
	"Contra Costa County, CA"	"06013"	"65-74 years"	"65-74"	420
	"Del Norte County, CA"	"06015"	"55-64 years"	"55-64"	13
	"Del Norte County, CA"	"06015"	"65-74 years"	"65-74"	21
	"El Dorado County, CA"	"06017"	"45-54 years"	"45-54"	22
	"El Dorado County, CA"	"06017"	"55-64 years"	"55-64"	46
	"El Dorado County, CA"	"06017"	"65-74 years"	"65-74"	105
	"Fresno County, CA"	"06019"	"35-44 years"	"35-44"	58
	"Fresno County, CA"	"06019"	"45-54 years"	"45-54"	126
	"Fresno County, CA"	"06019"	"55-64 years"	"55-64"	306
	"Fresno County, CA"	"06019"	"65-74 years"	"65-74"	509
	"Glenn County, CA"	"06021"	"55-64 years"	"55-64"	15
	"Glenn County, CA"	"06021"	"65-74 years"	"65-74"	26
	"Humboldt County, CA"	"06023"	"45-54 years"	"45-54"	19
	"Humboldt County, CA"	"06023"	"55-64 years"	"55-64"	61
	"Humboldt County, CA"	"06023"	"65-74 years"	"65-74"	105
	"Imperial County, CA"	"06025"	"45-54 years"	"45-54"	22
	"Imperial County, CA"	"06025"	"55-64 years"	"55-64"	44
	"Imperial County, CA"	"06025"	"65-74 years"	"65-74"	86
	"Inyo County, CA"	"06027"	"65-74 years"	"65-74"	13
	"Kern County, CA"	"06029"	"35-44 years"	"35-44"	48
	"Kern County, CA"	"06029"	"45-54 years"	"45-54"	133
	"Kern County, CA"	"06029"	"55-64 years"	"55-64"	285
	"Kern County, CA"	"06029"	"65-74 years"	"65-74"	509
	"Kings County, CA"	"06031"	"45-54 years"	"45-54"	16
	"Kings County, CA"	"06031"	"55-64 years"	"55-64"	40
	"Kings County, CA"	"06031"	"65-74 years"	"65-74"	64
	"Lake County, CA"	"06033"	"55-64 years"	"55-64"	32
	"Lake County, CA"	"06033"	"65-74 years"	"65-74"	82
	"Lassen County, CA"	"06035"	"55-64 years"	"55-64"	16
	"Lassen County, CA"	"06035"	"65-74 years"	"65-74"	18
	"Los Angeles County, CA"	"06037"	"35-44 years"	"35-44"	370
	"Los Angeles County, CA"	"06037"	"45-54 years"	"45-54"	1167
	"Los Angeles County, CA"	"06037"	"55-64 years"	"55-64"	2805
	"Los Angeles County, CA"	"06037"	"65-74 years"	"65-74"	4382
	"Madera County, CA"	"06039"	"35-44 years"	"35-44"	11
	"Madera County, CA"	"06039"	"45-54 years"	"45-54"	12
	"Madera County, CA"	"06039"	"55-64 years"	"55-64"	41
	"Madera County, CA"	"06039"	"65-74 years"	"65-74"	82
	"Marin County, CA"	"06041"	"45-54 years"	"45-54"	13
	"Marin County, CA"	"06041"	"55-64 years"	"55-64"	32
	"Marin County, CA"	"06041"	"65-74 years"	"65-74"	94
	"Mariposa County, CA"	"06043"	"65-74 years"	"65-74"	17
	"Mendocino County, CA"	"06045"	"55-64 years"	"55-64"	34
	"Mendocino County, CA"	"06045"	"65-74 years"	"65-74"	72
	"Merced County, CA"	"06047"	"35-44 years"	"35-44"	10
	"Merced County, CA"	"06047"	"45-54 years"	"45-54"	31
	"Merced County, CA"	"06047"	"55-64 years"	"55-64"	85
	"Merced County, CA"	"06047"	"65-74 years"	"65-74"	134
	"Modoc County, CA"	"06049"	"65-74 years"	"65-74"	11
